"","OTU","Sample","Abundance","depth_m","avg_cells_ml","Kingdom","Phylum","Class","Order","Family","Genus","OTU_RA","AA_Arch_Bac","AA_Arch_Bac_roundof","TAX"
"1","Otu00276","LC-17m-E1",22,17,434666.6667,"Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","Methanoregulaceae","Methanoregula",0.00129206554296118,561.617822716861,562,"Euryarchaeota|Methanoregula"
"2","Otu00276","LC-19m-E1",18,19,397000,"Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","Methanoregulaceae","Methanoregula",0.00104535687322144,415.006678668912,415,"Euryarchaeota|Methanoregula"
"3","Otu00326","LC-17m-E1",15,17,434666.6667,"Archaea","Nanoarchaeaeota","Woesearchaeia","Woesearchaeia_or","Woesearchaeia_fa","Woesearchaeia_ge",0.000880953779291713,382.921242761496,383,"Nanoarchaeaeota|Woesearchaeia_ge"
"4","Otu00276","LC-15point5m-E1",10,15.5,585000,"Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","Methanoregulaceae","Methanoregula",0.00142755174875089,835.117773019272,835,"Euryarchaeota|Methanoregula"
"5","Otu00326","LC-19m-E1",7,19,397000,"Archaea","Nanoarchaeaeota","Woesearchaeia","Woesearchaeia_or","Woesearchaeia_fa","Woesearchaeia_ge",0.000406527672919449,161.391486149021,161,"Nanoarchaeaeota|Woesearchaeia_ge"
"6","Otu00434","LC-19m-E1",7,19,397000,"Archaea","Nanoarchaeaeota","Woesearchaeia","Woesearchaeia_or","Woesearchaeia_fa","Woesearchaeia_ge",0.000406527672919449,161.391486149021,161,"Nanoarchaeaeota|Woesearchaeia_ge"
"7","Otu00473","LC-19m-E1",6,19,397000,"Archaea","Nanoarchaeaeota","Woesearchaeia","Woesearchaeia_or","Woesearchaeia_fa","Woesearchaeia_ge",0.000348452291073814,138.335559556304,138,"Nanoarchaeaeota|Woesearchaeia_ge"
"8","Otu00276","Cadagno15m-E2",5,15,905000,"Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","Methanoregulaceae","Methanoregula",0.000256042605489553,231.718557968046,232,"Euryarchaeota|Methanoregula"
"9","Otu00326","LC-9m-E1",5,9,73000,"Archaea","Nanoarchaeaeota","Woesearchaeia","Woesearchaeia_or","Woesearchaeia_fa","Woesearchaeia_ge",0.000219461879471536,16.0207172014221,16,"Nanoarchaeaeota|Woesearchaeia_ge"
"10","Otu00434","LC-17m-E1",5,17,434666.6667,"Archaea","Nanoarchaeaeota","Woesearchaeia","Woesearchaeia_or","Woesearchaeia_fa","Woesearchaeia_ge",0.000293651259763904,127.640414253832,128,"Nanoarchaeaeota|Woesearchaeia_ge"
"11","Otu00326","Cadagno15m-E2",4,15,905000,"Archaea","Nanoarchaeaeota","Woesearchaeia","Woesearchaeia_or","Woesearchaeia_fa","Woesearchaeia_ge",0.000204834084391643,185.374846374437,185,"Nanoarchaeaeota|Woesearchaeia_ge"
"12","Otu00519","LC-17m-E1",4,17,434666.6667,"Archaea","Nanoarchaeaeota","Woesearchaeia","Woesearchaeia_or","Woesearchaeia_fa","Woesearchaeia_ge",0.000234921007811124,102.112331403066,102,"Nanoarchaeaeota|Woesearchaeia_ge"
"13","Otu00537","LC-17m-E1",4,17,434666.6667,"Archaea","Archaea_unclassified","Archaea_unclassified","Archaea_unclassified","Archaea_unclassified","Archaea_unclassified",0.000234921007811124,102.112331403066,102,"Archaea_unclassified|Archaea_unclassified"
"14","Otu01036","LC-19m-E1",4,19,397000,"Archaea","Nanoarchaeaeota","Nanoarchaeaeota_unclassified","Nanoarchaeaeota_unclassified","Nanoarchaeaeota_unclassified","Nanoarchaeaeota_unclassified",0.000232301527382543,92.2237063708694,92,"Nanoarchaeaeota|Nanoarchaeaeota_unclassified"
"15","Otu00326","LC-15point5m-E1",3,15.5,585000,"Archaea","Nanoarchaeaeota","Woesearchaeia","Woesearchaeia_or","Woesearchaeia_fa","Woesearchaeia_ge",0.000428265524625268,250.535331905782,251,"Nanoarchaeaeota|Woesearchaeia_ge"
"16","Otu00537","LC-15point5m-E1",3,15.5,585000,"Archaea","Archaea_unclassified","Archaea_unclassified","Archaea_unclassified","Archaea_unclassified","Archaea_unclassified",0.000428265524625268,250.535331905782,251,"Archaea_unclassified|Archaea_unclassified"
"17","Otu00639","LC-19m-E1",3,19,397000,"Archaea","Nanoarchaeaeota","Woesearchaeia","Woesearchaeia_or","Woesearchaeia_fa","Woesearchaeia_ge",0.000174226145536907,69.167779778152,69,"Nanoarchaeaeota|Woesearchaeia_ge"
"18","Otu00751","LC-19m-E1",3,19,397000,"Archaea","Nanoarchaeaeota","Woesearchaeia","Woesearchaeia_or","Woesearchaeia_fa","Woesearchaeia_ge",0.000174226145536907,69.167779778152,69,"Nanoarchaeaeota|Woesearchaeia_ge"
"19","Otu00754","LC-17m-E1",3,17,434666.6667,"Archaea","Nanoarchaeaeota","Woesearchaeia","Woesearchaeia_or","Woesearchaeia_fa","Woesearchaeia_ge",0.000176190755858343,76.5842485522993,77,"Nanoarchaeaeota|Woesearchaeia_ge"
"20","Otu01084","LC-3m-E1",3,3,95666.66667,"Archaea","Nanoarchaeaeota","Woesearchaeia","Woesearchaeia_or","Woesearchaeia_fa","Woesearchaeia_ge",9.91899487518598e-05,9.48917176425855,9,"Nanoarchaeaeota|Woesearchaeia_ge"
"21","Otu01086","LC-17m-E1",3,17,434666.6667,"Archaea","Nanoarchaeaeota","Woesearchaeia","Woesearchaeia_or","Woesearchaeia_fa","Woesearchaeia_ge",0.000176190755858343,76.5842485522993,77,"Nanoarchaeaeota|Woesearchaeia_ge"
"22","Otu01367","LC-17m-E1",3,17,434666.6667,"Archaea","Nanoarchaeaeota","Nanoarchaeaeota_unclassified","Nanoarchaeaeota_unclassified","Nanoarchaeaeota_unclassified","Nanoarchaeaeota_unclassified",0.000176190755858343,76.5842485522993,77,"Nanoarchaeaeota|Nanoarchaeaeota_unclassified"
"23","Otu01368","LC-19m-E1",3,19,397000,"Archaea","Nanoarchaeaeota","Nanoarchaeaeota_unclassified","Nanoarchaeaeota_unclassified","Nanoarchaeaeota_unclassified","Nanoarchaeaeota_unclassified",0.000174226145536907,69.167779778152,69,"Nanoarchaeaeota|Nanoarchaeaeota_unclassified"
"24","Otu01385","LC-19m-E1",3,19,397000,"Archaea","Nanoarchaeaeota","Woesearchaeia","Woesearchaeia_or","Woesearchaeia_fa","Woesearchaeia_ge",0.000174226145536907,69.167779778152,69,"Nanoarchaeaeota|Woesearchaeia_ge"
"25","Otu01387","LC-17m-E1",3,17,434666.6667,"Archaea","Nanoarchaeaeota","Woesearchaeia","Woesearchaeia_or","Woesearchaeia_fa","Woesearchaeia_ge",0.000176190755858343,76.5842485522993,77,"Nanoarchaeaeota|Woesearchaeia_ge"
"26","Otu01393","LC-17m-E1",3,17,434666.6667,"Archaea","Nanoarchaeaeota","Woesearchaeia","Woesearchaeia_or","Woesearchaeia_fa","Woesearchaeia_ge",0.000176190755858343,76.5842485522993,77,"Nanoarchaeaeota|Woesearchaeia_ge"
"27","Otu01415","LC-19m-E1",3,19,397000,"Archaea","Nanoarchaeaeota","Woesearchaeia","Woesearchaeia_or","Woesearchaeia_fa","Woesearchaeia_ge",0.000174226145536907,69.167779778152,69,"Nanoarchaeaeota|Woesearchaeia_ge"
