"","OTU","Sample","Abundance","depth_m","avg_cells_ml","Kingdom","Phylum","Class","Order","Family","Genus","OTU_RA","AA_Arch_Bac","AA_Arch_Bac_roundof","TAX"
"1","Otu00001","Cadagno15m-E2",6870,15,905000,"Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Chromatium",0.351802539942646,318381.298648095,318381,"Proteobacteria|Chromatium"
"2","Otu00003","Cadagno7m-E2",5629,7,157333.3333,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","bacII","bacII-A",0.246766910700978,38824.6606087282,38825,"Bacteroidetes|bacII-A"
"3","Otu00002","LC-3m-E1",3696,3,95666.66667,"Bacteria","Actinobacteria","Actinobacteria","Frankiales","acI","acI-B",0.122202016862291,11690.6596135665,11691,"Actinobacteria|acI-B"
"4","Otu00001","LC-19m-E1",2629,19,397000,"Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Chromatium",0.152680178872176,60614.0310122539,60614,"Proteobacteria|Chromatium"
"5","Otu00006","LC-13m-E1",2627,13,95333.33333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",0.157258305896438,14991.9584949362,14992,"Cyanobacteria|Chloroplast_ge"
"6","Otu00001","LC-17m-E1",2608,17,434666.6667,"Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Chromatium",0.153168497092853,66577.2400747988,66577,"Proteobacteria|Chromatium"
"7","Otu00003","LC-9m-E1",2596,9,73000,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","bacII","bacII-A",0.113944607821621,8317.95637097836,8318,"Bacteroidetes|bacII-A"
"8","Otu00008","Cadagno7m-E2",2514,7,157333.3333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified",0.110209986410065,17339.7045248433,17340,"Cyanobacteria|Oxyphotobacteria_unclassified"
"9","Otu00009","LC-11m-E1",2479,11,104333.3333,"Bacteria","Verrucomicrobia","Verrucomicrobiae","uncultured","uncultured_fa","uncultured_ge",0.10024667394557,10459.0696449796,10459,"Verrucomicrobia|uncultured_ge"
"10","Otu00002","Cadagno7m-E2",2345,7,157333.3333,"Bacteria","Actinobacteria","Actinobacteria","Frankiales","acI","acI-B",0.10280128008417,16174.0680631494,16174,"Actinobacteria|acI-B"
