"","Press..dbar._CTD1_28","Depth_m_CTD1_28","Temp_CTD1_28","pH_CTD1_28","Turb_FTU_CTD1_28","Cond_ms_p_cm_CTD1_28","DO_mg_l_CTD1_28","Chl_A_ug_p_l_CTD1_28"
"1",-1.84,0.01,16.06,8.97,0.12,0.1373,9.3,0.73
"2",-1.83,0.02,16.06,8.97,0.15,0.1362,9.3,0.71
"3",-1.8,0.05,16.06,8.97,0.15,0.1362,9.3,0.72
"4",-1.74,0.11,16.06,8.96,0.15,0.1362,9.3,0.72
"5",-1.68,0.17,16.06,8.96,0.15,0.1373,9.31,0.75
"6",-1.64,0.21,16.07,8.96,0.12,0.1362,9.31,0.78
"7",-1.61,0.24,16.07,8.96,0.15,0.1362,9.3,0.77
"8",-1.57,0.28,16.07,8.96,0.19,0.1362,9.29,0.75
"9",-1.54,0.31,16.07,8.96,0.19,0.1373,9.29,0.73
"10",-1.51,0.34,16.07,8.96,0.15,0.1373,9.3,0.73
"11",-1.48,0.37,16.07,8.96,0.15,0.1373,9.3,0.8
"12",-1.46,0.39,16.07,8.96,0.15,0.1362,9.31,0.83
"13",-1.44,0.41,16.07,8.96,0.15,0.1373,9.31,0.84
"14",-1.41,0.44,16.07,8.96,0.12,0.1373,9.3,0.84
"15",-1.38,0.47,16.07,8.96,0.15,0.1373,9.3,0.83
"16",-1.36,0.49,16.07,8.96,0.12,0.1362,9.31,0.82
"17",-1.33,0.52,16.07,8.96,0.12,0.1373,9.31,0.81
"18",-1.31,0.54,16.07,8.96,0.12,0.1362,9.3,0.8
"19",-1.29,0.56,16.08,8.96,0.12,0.1373,9.3,0.81
"20",-1.27,0.58,16.08,8.96,0.12,0.1373,9.3,0.81
"21",-1.24,0.61,16.08,8.96,0.12,0.1373,9.3,0.79
"22",-1.2,0.65,16.08,8.96,0.15,0.1373,9.31,0.8
"23",-1.17,0.68,16.08,8.96,0.15,0.1362,9.31,0.79
"24",-1.14,0.71,16.08,8.96,0.15,0.1362,9.31,0.82
"25",-1.12,0.73,16.08,8.96,0.12,0.1373,9.31,0.88
"26",-1.1,0.75,16.08,8.96,0.12,0.1373,9.31,0.9
"27",-1.08,0.77,16.08,8.96,0.12,0.1362,9.31,0.88
"28",-1.05,0.8,16.07,8.96,0.12,0.1373,9.31,0.86
"29",-1.02,0.83,16.07,8.96,0.12,0.1362,9.31,0.84
"30",-1,0.85,16.07,8.97,0.12,0.1362,9.31,0.82
"31",-0.97,0.88,16.07,8.97,0.12,0.1362,9.3,0.84
"32",-0.95,0.9,16.08,8.97,0.12,0.1362,9.3,0.85
"33",-0.94,0.91,16.08,8.97,0.12,0.1362,9.31,0.86
"34",-0.93,0.92,16.08,8.97,0.15,0.1362,9.31,0.96
"35",-0.93,0.92,16.08,8.97,0.15,0.1373,9.31,1.06
"36",-0.92,0.93,16.08,8.97,0.12,0.1373,9.31,1.06
"37",-0.91,0.94,16.08,8.97,0.12,0.1373,9.31,1.03
"38",-0.9,0.95,16.08,8.97,0.12,0.1373,9.3,0.99
"39",-0.88,0.97,16.08,8.97,0.12,0.1373,9.3,0.95
"40",-0.85,1,16.08,8.97,0.12,0.1362,9.31,0.91
"41",-0.83,1.02,16.08,8.97,0.12,0.1373,9.31,0.93
"42",-0.81,1.04,16.08,8.97,0.12,0.1362,9.32,0.95
"43",-0.8,1.05,16.08,8.97,0.12,0.1362,9.31,0.96
"44",-0.78,1.07,16.08,8.97,0.12,0.1373,9.31,0.95
"45",-0.77,1.08,16.08,8.97,0.12,0.1373,9.31,0.94
"46",-0.75,1.1,16.08,8.97,0.12,0.1362,9.31,0.94
"47",-0.74,1.11,16.08,8.97,0.15,0.1362,9.31,0.95
"48",-0.72,1.13,16.08,8.97,0.15,0.1362,9.31,0.98
"49",-0.69,1.16,16.07,8.97,0.15,0.1362,9.31,0.98
"50",-0.67,1.18,16.07,8.97,0.15,0.1362,9.31,0.95
"51",-0.65,1.2,16.07,8.97,0.15,0.1373,9.31,0.96
"52",-0.62,1.23,16.07,8.97,0.15,0.1362,9.31,0.96
"53",-0.6,1.25,16.07,8.97,0.15,0.1362,9.31,0.97
"54",-0.58,1.27,16.07,8.97,0.15,0.1373,9.32,0.99
