Press..dbar._CTD1_28,Depth_m_CTD1_28,Temp_CTD1_28,pH_CTD1_28,Turb_FTU_CTD1_28,Cond_ms_p_cm_CTD1_28,DO_mg_l_CTD1_28,Chl_A_ug_p_l_CTD1_28
-1.84,0.01,16.06,8.97,0.12,0.1373,9.3,0.73
-1.83,0.02,16.06,8.97,0.15,0.1362,9.3,0.71
-1.8,0.05,16.06,8.97,0.15,0.1362,9.3,0.72
-1.74,0.11,16.06,8.96,0.15,0.1362,9.3,0.72
-1.68,0.17,16.06,8.96,0.15,0.1373,9.31,0.75
-1.64,0.21,16.07,8.96,0.12,0.1362,9.31,0.78
-1.61,0.24,16.07,8.96,0.15,0.1362,9.3,0.77
-1.57,0.28,16.07,8.96,0.19,0.1362,9.29,0.75
-1.54,0.31,16.07,8.96,0.19,0.1373,9.29,0.73
-1.51,0.34,16.07,8.96,0.15,0.1373,9.3,0.73
-1.48,0.37,16.07,8.96,0.15,0.1373,9.3,0.8
-1.46,0.39,16.07,8.96,0.15,0.1362,9.31,0.83
-1.44,0.41,16.07,8.96,0.15,0.1373,9.31,0.84
-1.41,0.44,16.07,8.96,0.12,0.1373,9.3,0.84
-1.38,0.47,16.07,8.96,0.15,0.1373,9.3,0.83
-1.36,0.49,16.07,8.96,0.12,0.1362,9.31,0.82
-1.33,0.52,16.07,8.96,0.12,0.1373,9.31,0.81
-1.31,0.54,16.07,8.96,0.12,0.1362,9.3,0.8
-1.29,0.56,16.08,8.96,0.12,0.1373,9.3,0.81
-1.27,0.58,16.08,8.96,0.12,0.1373,9.3,0.81
-1.24,0.61,16.08,8.96,0.12,0.1373,9.3,0.79
-1.2,0.65,16.08,8.96,0.15,0.1373,9.31,0.8
-1.17,0.68,16.08,8.96,0.15,0.1362,9.31,0.79
-1.14,0.71,16.08,8.96,0.15,0.1362,9.31,0.82
-1.12,0.73,16.08,8.96,0.12,0.1373,9.31,0.88
-1.1,0.75,16.08,8.96,0.12,0.1373,9.31,0.9
-1.08,0.77,16.08,8.96,0.12,0.1362,9.31,0.88
-1.05,0.8,16.07,8.96,0.12,0.1373,9.31,0.86
