Depth,Press..dbar._CTD1_28,Temp_CTD1_28,pH_CTD1_28,Turb_FTU_CTD1_28,Cond_ms_p_cm_CTD1_28,DO_mg_l_CTD1_28,Chl_A_ug_p_l_CTD1_28,DO_mg_l_CTD1_282
1,-1.280512821,16.07307692,8.963333333,0.135128205,0.136792308,9.304615385,0.834871795,290.78784
2,-0.393802817,16.07126761,8.974647887,0.147183099,0.13661831,9.31,0.983661972,290.95612
3,0.695866667,16.04533333,8.9956,0.1668,0.136698667,9.285733333,0.998933333,290.1977381
5,2.689824561,15.77,9.004385965,0.152982456,0.135485965,9.143859649,1.043684211,285.7639018
6,3.63009901,15.41376238,8.996831683,0.121782178,0.134686139,8.983960396,1.045148515,280.7667303
7,4.679896907,14.4528866,8.878865979,0.23,0.143675258,7.299587629,2.743195876,228.1267126
8,5.677474747,13.0759596,8.708989899,0.367979798,0.17170202,4.652525253,6.283030303,145.4007192
9,6.583829787,11.1562766,8.582765957,0.488191489,0.192857447,4.667021277,11.04212766,145.8537489
10,7.609464286,9.405,8.505446429,0.534553571,0.200836607,4.34,13.12133929,135.63368
11,8.706282051,8.06525641,8.447820513,0.492307692,0.207958974,2.536794872,10.14820513,79.27991333
12,9.648469388,7.12744898,8.40377551,0.519081633,0.212522449,1.363979592,7.634285714,42.6270902
13,10.70438356,6.304794521,8.368082192,1.352054795,0.216131507,0.926575342,26.92630137,28.9573326
13.5,11.42,5.747096774,8.346774194,6.150967742,0.217964516,0.500322581,48.32290323,15.63608129
14,11.91461538,5.449615385,8.330192308,17.85519231,0.217980769,0.385,31.85211538,12.03202
14.5,12.39722222,5.35,8.301851852,13.11444444,0.218248148,0.401666667,25.08185185,12.55288667
15,12.8862963,5.227037037,8.26037037,8.616296296,0.219131481,0.409074074,20.06685185,12.78438296
15.5,13.38130435,5.164130435,8.216086957,7.165869565,0.219343478,0.383043478,18.9026087,11.97087478
16,13.92309524,5.116428571,8.177380952,5.896904762,0.219514286,0.249761905,15.77428571,7.805559048
17,14.64710526,5.055921053,8.125921053,5.485789474,0.220126316,0.148026316,14.08460526,4.626118421
18,15.62566038,5.028113208,8.07245283,5.277735849,0.220590566,0.091698113,13.57754717,2.865749434
19,16.25384615,4.983076923,8.042307692,4.708461538,0.220976923,0.09,12.75461538,2.81268
