Press_CTD1_29,Depth_m_CTD1_29,Temp_CTD1_29,Cond_CTD1_29,Chl_A_CTD1_29,Turb_CTD1_29,DO_mg_CTD1_29,pH_CTD1_29
-2.228,0.672,15.781,0.134,0.95,0.5,9.271,9.39
-2.228,0.672,15.785,0.134,1.011,0.254,9.277,9.39
-2.228,0.672,15.788,0.135,1.165,0.131,9.368,9.39
-2.244,0.656,15.791,0.135,1.226,0.1,9.42,9.39
-2.13,0.77,15.794,0.135,1.195,0.1,9.432,9.39
-2.162,0.738,15.796,0.135,1.165,0.1,9.439,9.39
-2.146,0.754,15.797,0.135,1.103,0.07,9.529,9.39
-2.097,0.803,15.795,0.135,1.042,0.07,9.541,9.39
-2.064,0.836,15.792,0.135,0.981,0.131,9.546,9.39
-2.064,0.836,15.788,0.135,0.95,0.1,9.572,9.38
-1.999,0.901,15.783,0.135,0.889,0.131,9.582,9.38
-1.933,0.967,15.78,0.135,0.858,0.1,9.583,9.38
-1.917,0.983,15.777,0.135,0.827,0.07,9.59,9.38
-1.917,0.983,15.777,0.135,0.827,0.07,9.609,9.38
-1.933,0.967,15.782,0.135,0.827,0.1,9.611,9.38
-1.884,1.016,15.786,0.135,0.827,0.1,9.614,9.38
-1.9,1,15.791,0.135,0.827,0.07,9.645,9.38
-1.802,1.098,15.796,0.135,0.827,0.07,9.661,9.38
-1.786,1.114,15.798,0.135,0.797,0.07,9.664,9.38
-1.753,1.147,15.8,0.135,0.766,0.07,9.692,9.37
-1.72,1.18,15.802,0.135,0.735,0.07,9.724,9.37
-1.704,1.196,15.804,0.135,0.766,0.07,9.731,9.37
-1.72,1.18,15.806,0.135,0.766,0.07,9.733,9.38
-1.671,1.229,15.808,0.135,0.797,0.07,9.762,9.38
-1.638,1.262,15.809,0.135,0.827,0.07,9.772,9.38
-1.655,1.245,15.81,0.135,0.827,0.07,9.775,9.38
-1.622,1.278,15.81,0.135,0.827,0.193,9.786,9.38
-1.556,1.344,15.811,0.135,0.797,0.1,9.816,9.38
-1.556,1.344,15.811,0.135,0.766,0.1,9.821,9.38
-1.524,1.376,15.812,0.135,0.766,0.07,9.824,9.38
-1.507,1.393,15.812,0.135,0.766,0.07,9.862,9.38
-1.442,1.458,15.813,0.135,0.766,0.1,9.871,9.38
-1.442,1.458,15.813,0.135,0.797,0.1,9.875,9.38
-1.392,1.508,15.813,0.135,0.766,0.1,9.867,9.38
-1.376,1.524,15.813,0.135,0.766,0.07,9.86,9.38
-1.311,1.589,15.812,0.135,0.735,0.1,9.857,9.38
-1.327,1.573,15.811,0.135,0.735,0.07,9.857,9.38
-1.294,1.606,15.811,0.135,0.735,0.07,9.868,9.38
-1.212,1.688,15.812,0.135,0.735,0.07,9.872,9.38
-1.229,1.671,15.812,0.135,0.735,0.07,9.872,9.38
-1.212,1.688,15.812,0.135,0.735,0.07,9.877,9.38
-1.179,1.721,15.812,0.135,0.705,0.07,9.897,9.38
-1.179,1.721,15.813,0.135,0.705,0.07,9.898,9.38
-1.196,1.704,15.814,0.135,0.674,0.07,9.898,9.38
-1.179,1.721,15.814,0.135,0.705,0.07,9.897,9.38
-1.114,1.786,15.814,0.135,0.705,0.1,9.898,9.38
-1.114,1.786,15.814,0.135,0.674,0.1,9.898,9.38
-1.065,1.835,15.814,0.135,0.705,0.07,9.905,9.38
-1.065,1.835,15.814,0.135,0.705,0.1,9.912,9.38
-0.966,1.934,15.814,0.135,0.705,0.1,9.913,9.38
-0.983,1.917,15.814,0.135,0.705,0.07,9.914,9.38
-0.934,1.966,15.813,0.135,0.766,0.1,9.925,9.38
-0.885,2.015,15.813,0.135,0.827,0.1,9.93,9.37
-0.852,2.048,15.812,0.135,0.797,0.07,9.931,9.37
-0.852,2.048,15.812,0.135,0.797,0.1,9.95,9.38
-0.786,2.114,15.812,0.135,0.827,0.07,9.96,9.38
-0.803,2.097,15.812,0.135,0.919,0.1,9.962,9.38
-0.737,2.163,15.812,0.135,0.95,0.1,9.962,9.38
-0.737,2.163,15.812,0.135,0.95,0.1,9.981,9.38
-0.721,2.179,15.812,0.135,0.919,0.07,9.985,9.37
-0.721,2.179,15.811,0.135,0.889,0.07,9.987,9.37
-0.688,2.212,15.81,0.135,0.858,0.1,9.982,9.37
-0.639,2.261,15.811,0.135,0.827,0.07,9.981,9.37
-0.606,2.294,15.81,0.135,0.827,0.07,9.979,9.37
-0.639,2.261,15.811,0.135,0.827,0.07,9.978,9.37
-0.639,2.261,15.812,0.135,0.797,0.07,10,9.37
-0.59,2.31,15.812,0.135,0.797,0.07,10.001,9.37
-0.573,2.327,15.812,0.135,0.766,0.131,10.004,9.37
-0.557,2.343,15.812,0.135,0.735,0.1,10.008,9.37
