"","Pressure_CTD2_29","Temperature_CTD2_29","Conductivity_CTD2_29","Oxygen_mg_L_CTD2_29","PAR_CTD2_29","Phycocyanin_CTD2_29","Depth_m_CTD2_29"
"233",-1.89,16.1406,0.1371,9.6,672.12067,3.81,0
"234",-1.885,16.1216,0.137,9.6,668.80475,3.81,0.00499999999999989
"235",-1.882,16.1081,0.137,9.63,666.8678,3.81,0.00800000000000001
"236",-1.862,16.0973,0.1369,9.64,668.69818,-5.59,0.0279999999999998
"237",-1.853,16.0887,0.1375,9.63,672.78827,-5.59,0.0369999999999999
"238",-1.834,16.0834,0.1371,9.63,676.25,2.78,0.0559999999999998
"239",-1.816,16.0795,0.1375,9.64,681.46143,2.78,0.0739999999999998
"240",-1.796,16.0769,0.1374,9.64,688.79858,2.78,0.0939999999999999
"241",-1.79,16.0742,0.1376,9.64,696.07056,3.27,0.0999999999999999
"242",-1.772,16.0724,0.1373,9.63,699.41235,3.27,0.118
"243",-1.77,16.0703,0.1374,9.62,700.08374,3.27,0.12
"244",-1.765,16.0682,0.1371,9.62,699.1178,2.53,0.125
"245",-1.773,16.0674,0.1373,9.62,697.91724,2.53,0.117
"246",-1.769,16.0678,0.1371,9.62,697.20673,2.53,0.121
"247",-1.77,16.0689,0.1378,9.63,696.69977,2.7,0.12
"248",-1.774,16.0698,0.1374,9.62,696.27631,2.7,0.116
"249",-1.77,16.0706,0.1374,9.62,695.68866,2.7,0.12
"250",-1.764,16.0706,0.1374,9.61,695.31415,2.42,0.126
"251",-1.757,16.0699,0.1376,9.62,695.55023,2.42,0.133
"252",-1.75,16.07,0.137,9.62,696.15417,2.42,0.14
"253",-1.75,16.0697,0.1375,9.63,697.13861,2.85,0.14
"254",-1.741,16.0692,0.1379,9.64,698.0387,2.85,0.149
"255",-1.736,16.0691,0.1377,9.65,698.84839,2.85,0.154
"256",-1.727,16.0682,0.1379,9.66,699.2533,2.64,0.163
"257",-1.725,16.0704,0.1377,9.67,698.784,2.64,0.165
"258",-1.723,16.0703,0.1378,9.67,698.57605,2.87,0.167
"259",-1.715,16.07,0.1374,9.68,698.68774,2.87,0.175
"260",-1.714,16.07,0.1368,9.68,698.47534,2.87,0.176
"261",-1.704,16.0698,0.1372,9.69,697.11121,2.66,0.186
"262",-1.7,16.0686,0.1369,9.7,694.7746,2.66,0.19
"263",-1.702,16.0679,0.1372,9.71,692.96564,2.66,0.188
"264",-1.695,16.0676,0.1382,9.73,691.74957,3.05,0.195
"265",-1.693,16.0682,0.1371,9.74,689.43286,3.05,0.197
"266",-1.689,16.0685,0.1375,9.74,686.23761,3.05,0.201
"267",-1.682,16.0676,0.1374,9.75,683.65521,2.77,0.208
"268",-1.684,16.0661,0.1376,9.76,681.84552,2.77,0.206
"269",-1.684,16.0649,0.1382,9.76,680.03589,2.77,0.206
"270",-1.677,16.0651,0.137,9.77,677.77319,2.73,0.213
"271",-1.674,16.0654,0.1373,9.78,675.49725,2.73,0.216
"272",-1.672,16.064,0.138,9.79,672.97034,2.73,0.218
"273",-1.668,16.0637,0.1376,9.8,669.91577,2.92,0.222
"274",-1.668,16.0637,0.1382,9.81,666.42664,2.92,0.222
"275",-1.658,16.064,0.138,9.82,662.94647,2.92,0.232
"276",-1.661,16.0636,0.1379,9.84,659.56989,2.9,0.229
"277",-1.668,16.0639,0.1375,9.85,656.6344,2.9,0.222
"278",-1.664,16.0643,0.1378,9.86,653.87958,2.93,0.226
"279",-1.664,16.0637,0.1381,9.87,651.03516,2.93,0.226
"280",-1.664,16.064,0.138,9.88,648.15448,2.93,0.226
"281",-1.663,16.0631,0.1381,9.88,645.40778,3.21,0.227
"282",-1.662,16.0632,0.1371,9.88,642.85199,3.21,0.228
"283",-1.657,16.0632,0.1373,9.88,640.96313,3.21,0.233
"284",-1.659,16.0643,0.1372,9.88,639.64642,2.66,0.231
"285",-1.653,16.0655,0.1381,9.9,638.23273,2.66,0.237
"286",-1.653,16.0669,0.1374,9.91,636.63324,2.66,0.237
"287",-1.65,16.0671,0.1379,9.93,635.48004,2.8,0.24
"288",-1.641,16.0677,0.1381,9.95,634.4646,2.8,0.249
"289",-1.628,16.0691,0.1372,9.96,633.34326,2.8,0.262
"290",-1.623,16.0695,0.138,9.97,631.67419,2.82,0.267
"291",-1.615,16.0701,0.1371,9.98,629.37085,2.82,0.275
"292",-1.607,16.0704,0.1378,9.99,628.26733,2.82,0.283
"293",-1.606,16.0706,0.1378,10,627.96753,3.1,0.284
"294",-1.601,16.0703,0.1377,10.01,627.25769,3.1,0.289
"295",-1.597,16.0702,0.1373,10.02,625.85956,3.1,0.293
"296",-1.601,16.0696,0.1387,10.03,623.91589,2.81,0.289
"297",-1.601,16.0696,0.1385,10.05,622.25275,2.81,0.289
"298",-1.6,16.0697,0.1378,10.06,621.97449,2.81,0.29
"299",-1.602,16.069,0.1384,10.07,622.44226,2.74,0.288
"300",-1.599,16.0689,0.1387,10.08,622.75977,2.74,0.291
"301",-1.601,16.0685,0.1393,10.08,622.59027,2.82,0.289
"302",-1.601,16.0687,0.139,10.09,622.44592,2.82,0.289
"303",-1.594,16.0683,0.1394,10.1,622.6673,2.82,0.296
"304",-1.597,16.0685,0.1388,10.11,624.30304,2.89,0.293
"305",-1.598,16.068,0.1392,10.12,627.22662,2.89,0.292
"306",-1.605,16.068,0.1396,10.12,630.14581,2.89,0.285
"307",-1.605,16.0684,0.1392,10.13,632.54834,3.04,0.285
"308",-1.605,16.0681,0.1392,10.14,634.26324,3.04,0.285
"309",-1.614,16.0683,0.1395,10.15,635.22247,3.04,0.276
"310",-1.616,16.0681,0.1392,10.16,636.1203,2.63,0.274
"311",-1.619,16.0671,0.1396,10.16,637.7901,2.63,0.271
"312",-1.617,16.0659,0.1402,10.17,639.94543,2.63,0.273
"313",-1.622,16.0647,0.1398,10.17,642.39386,2.56,0.268
"314",-1.621,16.0632,0.1395,10.17,645.31226,2.56,0.269
"315",-1.623,16.064,0.1394,10.17,648.37872,2.56,0.267
"316",-1.619,16.0645,0.1398,10.18,651.17285,2.88,0.271
"317",-1.626,16.0647,0.14,10.18,653.59235,2.88,0.264
"318",-1.634,16.0659,0.14,10.18,656.05341,2.88,0.256
"319",-1.636,16.0671,0.1393,10.19,659.38928,2.92,0.254
"320",-1.641,16.0672,0.1393,10.19,663.58887,2.92,0.249
"321",-1.645,16.0676,0.1397,10.2,667.88257,2.87,0.245
"322",-1.652,16.069,0.1391,10.21,671.37457,2.87,0.238
"323",-1.665,16.0691,0.1391,10.21,673.17688,2.87,0.225
"324",-1.666,16.0686,0.1386,10.22,672.29535,2.81,0.224
"325",-1.678,16.0677,0.1385,10.24,670.96161,2.81,0.212
"326",-1.685,16.0679,0.1389,10.25,671.15253,2.81,0.205
"327",-1.688,16.0676,0.1388,10.25,673.12732,2.99,0.202
"328",-1.687,16.0673,0.139,10.26,675.70227,2.99,0.203
"329",-1.685,16.0666,0.1389,10.26,677.69037,2.99,0.205
"330",-1.684,16.0656,0.1392,10.27,679.26691,3.12,0.206
"331",-1.684,16.0644,0.1392,10.28,680.82489,3.12,0.206
"332",-1.685,16.0639,0.1389,10.28,683.00391,3.12,0.205
"333",-1.684,16.0632,0.1387,10.29,685.93414,2.96,0.206
"334",-1.694,16.0629,0.1388,10.29,689.42621,2.96,0.196
"335",-1.695,16.0625,0.1393,10.3,693.08331,2.96,0.195
"336",-1.692,16.0624,0.1396,10.31,696.42584,2.82,0.198
"337",-1.705,16.0629,0.1397,10.32,698.68408,2.82,0.185
"338",-1.701,16.0624,0.1395,10.32,699.56635,2.82,0.189
"339",-1.697,16.0619,0.1395,10.33,700.31165,3.13,0.193
"340",-1.699,16.0615,0.14,10.34,701.64984,3.13,0.191
"341",-1.706,16.0614,0.1398,10.34,703.2005,2.66,0.184
"342",-1.703,16.0617,0.1399,10.35,703.97839,2.66,0.187
"343",-1.704,16.0616,0.1397,10.35,703.67267,2.66,0.186
"344",-1.7,16.0612,0.1397,10.35,703.28784,3.16,0.19
"345",-1.702,16.0614,0.1395,10.36,702.97546,3.16,0.188
"346",-1.702,16.0616,0.1397,10.36,703.45361,3.16,0.188
"347",-1.699,16.0615,0.1397,10.37,704.95465,3,0.191
"348",-1.7,16.0612,0.1398,10.37,707.31866,3,0.19
"349",-1.696,16.0612,0.1398,10.36,710.53021,3,0.194
"350",-1.699,16.0614,0.1397,10.36,712.82251,3.07,0.191
"351",-1.7,16.0615,0.1402,10.37,713.90167,3.07,0.19
"352",-1.7,16.0625,0.1397,10.37,714.6795,3.07,0.19
"353",-1.703,16.0621,0.1394,10.38,716.82971,2.67,0.187
"354",-1.699,16.0624,0.1394,10.39,720.26843,2.67,0.191
"355",-1.702,16.0624,0.1398,10.39,722.97516,2.67,0.188
"356",-1.7,16.0626,0.1391,10.4,723.94849,2.75,0.19
"357",-1.701,16.0624,0.1398,10.41,723.64728,2.75,0.189
"358",-1.7,16.0627,0.1395,10.42,723.52435,2.75,0.19
"359",-1.704,16.0634,0.1392,10.43,724.38226,2.9,0.186
"360",-1.707,16.0643,0.1393,10.43,725.74408,2.9,0.183
"361",-1.709,16.065,0.139,10.43,726.98242,2.9,0.181
"362",-1.703,16.066,0.1388,10.43,727.27997,2.89,0.187
"363",-1.709,16.0661,0.1391,10.44,727.00238,2.89,0.181
"364",-1.712,16.0669,0.1389,10.45,727.48938,3.15,0.178
"365",-1.711,16.0672,0.1391,10.46,729.31836,3.15,0.179
"366",-1.709,16.0672,0.139,10.46,731.88074,3.15,0.181
"367",-1.716,16.0677,0.1393,10.47,733.40399,3.01,0.174
"368",-1.711,16.0683,0.1389,10.47,733.01764,3.01,0.179
"369",-1.713,16.0685,0.1389,10.47,731.71863,3.01,0.177
"370",-1.714,16.0686,0.1389,10.48,730.40704,2.77,0.176
"371",-1.714,16.0684,0.1387,10.48,729.73871,2.77,0.176
"372",-1.712,16.0687,0.1385,10.49,730.23389,2.77,0.178
"373",-1.714,16.0696,0.1388,10.49,731.90076,3.16,0.176
"374",-1.716,16.0698,0.1389,10.5,732.90948,3.16,0.174
"375",-1.719,16.0703,0.1387,10.5,731.32788,3.16,0.171
"376",-1.718,16.0706,0.1387,10.5,728.13037,2.87,0.172
"377",-1.724,16.0701,0.1391,10.51,726.12897,2.87,0.166
"378",-1.716,16.0704,0.1391,10.51,726.10675,2.87,0.174
"379",-1.722,16.0708,0.1389,10.51,727.52045,2.61,0.168
"380",-1.716,16.0705,0.1387,10.52,729.21686,2.61,0.174
"381",-1.714,16.0706,0.139,10.52,730.45367,2.61,0.176
"382",-1.712,16.0709,0.1388,10.53,731.56024,2.74,0.178
"383",-1.716,16.0712,0.139,10.53,733.89246,2.74,0.174
"384",-1.717,16.0712,0.1386,10.54,737.29865,3.14,0.173
"385",-1.714,16.0718,0.139,10.54,740.50574,3.14,0.176
"386",-1.717,16.0714,0.1387,10.54,742.25989,3.14,0.173
"387",-1.718,16.0716,0.1386,10.54,742.81354,2.94,0.172
"388",-1.719,16.072,0.1387,10.54,742.70618,2.94,0.171
"389",-1.718,16.0724,0.1383,10.55,743.9201,2.94,0.172
"390",-1.718,16.0723,0.1383,10.55,747.24481,2.75,0.172
