OTU,Sample,Abundance,depth_m,Water_Layer,avg_cells_ml,Kingdom,Phylum,Abundance_P,AA_Phylum
Otu00002,LC-3m-E1,0.353715836,3,Mixolimnion,95666.66667,Bacteria,Actinobacteria,35.37158361,33838.81499
Otu00003,LC-3m-E1,0.214909668,3,Mixolimnion,95666.66667,Bacteria,Bacteroidetes,21.49096685,20559.69162
Otu00001,LC-3m-E1,0.204685329,3,Mixolimnion,95666.66667,Bacteria,Proteobacteria,20.46853286,19581.5631
Otu00009,LC-3m-E1,0.127853881,3,Mixolimnion,95666.66667,Bacteria,Verrucomicrobia,12.78538813,12231.35464
Otu00006,LC-3m-E1,0.054662167,3,Mixolimnion,95666.66667,Bacteria,Cyanobacteria,5.466216663,5229.347275
Otu00028,LC-3m-E1,0.040599563,3,Mixolimnion,95666.66667,Bacteria,Armatimonadetes,4.059956323,3884.024883
Otu00059,LC-3m-E1,0.001422805,3,Mixolimnion,95666.66667,Bacteria,Chloroflexi,0.142280458,136.1149714
Otu00218,LC-3m-E1,0.001290451,3,Mixolimnion,95666.66667,Bacteria,Bacteria_unclassified,0.129045067,123.4531136
Otu00002,LC-5m-E1,0.380905163,5,Mixolimnion,86666.66667,Bacteria,Actinobacteria,38.09051633,33011.78082
Otu00003,LC-5m-E1,0.221757915,5,Mixolimnion,86666.66667,Bacteria,Bacteroidetes,22.17579149,19219.01929
Otu00009,LC-5m-E1,0.159572208,5,Mixolimnion,86666.66667,Bacteria,Verrucomicrobia,15.95722077,13829.59133
Otu00001,LC-5m-E1,0.142219704,5,Mixolimnion,86666.66667,Bacteria,Proteobacteria,14.22197039,12325.70768
Otu00006,LC-5m-E1,0.050357674,5,Mixolimnion,86666.66667,Bacteria,Cyanobacteria,5.035767406,4364.331752
Otu00028,LC-5m-E1,0.04306254,5,Mixolimnion,86666.66667,Bacteria,Armatimonadetes,4.306253984,3732.086786
Otu00003,Cadagno7m-E2,0.370614035,7,Mixolimnion,157333.3333,Bacteria,Bacteroidetes,37.06140351,58309.94151
Otu00002,Cadagno7m-E2,0.317236842,7,Mixolimnion,157333.3333,Bacteria,Actinobacteria,31.72368421,49911.92981
Otu00006,Cadagno7m-E2,0.12254386,7,Mixolimnion,157333.3333,Bacteria,Cyanobacteria,12.25438596,19280.23391
Otu00009,Cadagno7m-E2,0.085087719,7,Mixolimnion,157333.3333,Bacteria,Verrucomicrobia,8.50877193,13387.1345
Otu00001,Cadagno7m-E2,0.073070175,7,Mixolimnion,157333.3333,Bacteria,Proteobacteria,7.307017544,11496.37427
Otu00059,Cadagno7m-E2,0.026315789,7,Mixolimnion,157333.3333,Bacteria,Chloroflexi,2.631578947,4140.350876
Otu00028,Cadagno7m-E2,0.002850877,7,Mixolimnion,157333.3333,Bacteria,Armatimonadetes,0.285087719,448.5380116
Otu00072,Cadagno7m-E2,0.001447368,7,Mixolimnion,157333.3333,Bacteria,Patescibacteria,0.144736842,227.7192982
Otu00003,LC-9m-E1,0.311387509,9,Mixolimnion,73000,Bacteria,Bacteroidetes,31.13875093,22731.28818
Otu00002,LC-9m-E1,0.242077968,9,Mixolimnion,73000,Bacteria,Actinobacteria,24.20779677,17671.69165
Otu00001,LC-9m-E1,0.179141212,9,Mixolimnion,73000,Bacteria,Proteobacteria,17.91412121,13077.30849
Otu00009,LC-9m-E1,0.154309322,9,Mixolimnion,73000,Bacteria,Verrucomicrobia,15.43093218,11264.58049
Otu00006,LC-9m-E1,0.052432646,9,Mixolimnion,73000,Bacteria,Cyanobacteria,5.243264624,3827.583176
Otu00028,LC-9m-E1,0.051905243,9,Mixolimnion,73000,Bacteria,Armatimonadetes,5.190524326,3789.082758
Otu00218,LC-9m-E1,0.003252318,9,Mixolimnion,73000,Bacteria,Bacteria_unclassified,0.325231838,237.4192414
Otu00059,LC-9m-E1,0.002900716,9,Mixolimnion,73000,Bacteria,Chloroflexi,0.290071639,211.7522964
Otu00072,LC-9m-E1,0.001406408,9,Mixolimnion,73000,Bacteria,Patescibacteria,0.140640795,102.6677801
Otu00003,LC-11m-E1,0.305859027,11,Mixolimnion,104333.3333,Bacteria,Bacteroidetes,30.58590273,31911.29184
Otu00002,LC-11m-E1,0.295743303,11,Mixolimnion,104333.3333,Bacteria,Actinobacteria,29.57433034,30855.88464
