"","OTU","Sample","Abundance","depth_m","avg_cells_ml","Kingdom","Phylum","Class","Order","Family","Genus","Abundance_P","AA_Genus","Phylum_Genus"
"1","Otu00001","Cadagno15m-E2",0.352705616593079,15,905000,"Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Chromatium",35.2705616593079,319198.583016737,"Proteobacteria|Chromatium"
"23","Otu00003","Cadagno7m-E2",0.249385964912281,7,157333.3333,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","bacII","bacII-A",24.9385964912281,39236.725137886,"Bacteroidetes|bacII-A"
"52","Otu00006","LC-13m-E1",0.241652179125952,13,95333.33333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",24.1652179125952,23037.5077425352,"Cyanobacteria|Chloroplast_ge"
"10","Otu00001","LC-15point5m-E1",0.193659446277435,15.5,585000,"Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Chromatium",19.3659446277435,113290.7760723,"Proteobacteria|Chromatium"
"2","Otu00001","LC-17m-E1",0.154264758074057,17,434666.6667,"Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Chromatium",15.4264758074057,67053.7481813321,"Proteobacteria|Chromatium"
"6","Otu00001","LC-19m-E1",0.153769667193075,19,397000,"Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Chromatium",15.3769667193075,61046.5578756507,"Proteobacteria|Chromatium"
"53","Otu00006","LC-17m-E1",0.132970543002484,17,434666.6667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",13.2970543002484,57797.8626961789,"Cyanobacteria|Chloroplast_ge"
"20","Otu00002","LC-3m-E1",0.122295016875124,3,95666.66667,"Bacteria","Actinobacteria","Actinobacteria","Frankiales","acI","acI-B",12.2295016875124,11699.5566147945,"Actinobacteria|acI-B"
"26","Otu00003","LC-9m-E1",0.1202039291522,9,73000,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","bacII","bacII-A",12.02039291522,8774.88682811058,"Bacteroidetes|bacII-A"
"58","Otu00006","LC-11m-E1",0.118273043619001,11,104333.3333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",11.8273043619001,12339.8208803067,"Cyanobacteria|Chloroplast_ge"
"12","Otu00002","LC-5m-E1",0.117359586372973,5,86666.66667,"Bacteria","Actinobacteria","Actinobacteria","Frankiales","acI","acI-B",11.7359586372973,10171.1641527155,"Actinobacteria|acI-B"
"61","Otu00007","LC-5m-E1",0.116155535094553,5,86666.66667,"Bacteria","Actinobacteria","Actinobacteria","Frankiales","acI","acI-A",11.6155535094553,10066.8130419152,"Actinobacteria|acI-A"
"78","Otu00008","Cadagno7m-E2",0.11030701754386,7,157333.3333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified",11.030701754386,17354.970756557,"Cyanobacteria|Oxyphotobacteria_unclassified"
"70","Otu00007","LC-3m-E1",0.106412547151082,3,95666.66667,"Bacteria","Actinobacteria","Actinobacteria","Frankiales","acI","acI-A",10.6412547151082,10180.1336778082,"Actinobacteria|acI-A"
"83","Otu00009","LC-11m-E1",0.106174637857085,11,104333.3333,"Bacteria","Verrucomicrobia","Verrucomicrobiae","uncultured","uncultured_fa","uncultured_ge",10.6174637857085,11077.5538795501,"Verrucomicrobia|uncultured_ge"
"29","Otu00003","LC-11m-E1",0.103058994901675,11,104333.3333,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","bacII","bacII-A",10.3058994901675,10752.4884646395,"Bacteroidetes|bacII-A"
"16","Otu00002","Cadagno7m-E2",0.102850877192982,7,157333.3333,"Bacteria","Actinobacteria","Actinobacteria","Frankiales","acI","acI-B",10.2850877192982,16181.8713416009,"Actinobacteria|acI-B"
"67","Otu00007","LC-11m-E1",0.102775754633002,11,104333.3333,"Bacteria","Actinobacteria","Actinobacteria","Frankiales","acI","acI-A",10.2775754633002,10722.937063284,"Actinobacteria|acI-A"
"57","Otu00006","LC-19m-E1",0.0977364449903492,19,397000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",9.77364449903492,38801.3686611686,"Cyanobacteria|Chloroplast_ge"
"19","Otu00002","LC-9m-E1",0.0935700786709445,9,73000,"Bacteria","Actinobacteria","Actinobacteria","Frankiales","acI","acI-B",9.35700786709445,6830.61574297895,"Actinobacteria|acI-B"
"105","Otu00013","LC-13m-E1",0.0906420478388586,13,95333.33333,"Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","gamI","unclassified",9.06420478388586,8641.20856033571,"Proteobacteria|unclassified"
"37","Otu00004","LC-15point5m-E1",0.0886529909625592,15.5,585000,"Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Lentimicrobiaceae","Lentimicrobiaceae_ge",8.86529909625592,51861.9997130971,"Bacteroidetes|Lentimicrobiaceae_ge"
"121","Otu00017","LC-5m-E1",0.0874707840498619,5,86666.66667,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Pedosphaeraceae_ge",8.74707840498619,7580.80128461293,"Verrucomicrobia|Pedosphaeraceae_ge"
"69","Otu00007","Cadagno7m-E2",0.0853508771929825,7,157333.3333,"Bacteria","Actinobacteria","Actinobacteria","Frankiales","acI","acI-A",8.53508771929824,13428.5380088509,"Actinobacteria|acI-A"
"18","Otu00002","LC-11m-E1",0.084122359796067,11,104333.3333,"Bacteria","Actinobacteria","Actinobacteria","Frankiales","acI","acI-B",8.4122359796067,8776.76620258558,"Actinobacteria|acI-B"
"86","Otu00009","LC-9m-E1",0.0811761086450138,9,73000,"Bacteria","Verrucomicrobia","Verrucomicrobiae","uncultured","uncultured_fa","uncultured_ge",8.11761086450139,5925.85593108601,"Verrucomicrobia|uncultured_ge"
