Sample_name,Depth,Water_layer,Dye
Sample.B01.fcs,1,Mixolimnion,Whole
Sample.B0112.fcs,12,Mixolimnion,Whole
Sample.B02.fcs,2,Mixolimnion,Whole
Sample.B02135.fcs,13.5,Chemocline,Whole
Sample.B03.fcs,3,Mixolimnion,Whole
Sample.B0314.fcs,14,Chemocline,Whole
Sample.B04.fcs,4,Mixolimnion,Whole
Sample.B0415.fcs,15,Chemocline,Whole
Sample.B05.fcs,5,Mixolimnion,Whole
Sample.B05155.fcs,15.5,Chemocline,Whole
Sample.B06.fcs,6,Mixolimnion,Whole
Sample.B0616.fcs,16,Monimolimnion,Whole
Sample.B07.fcs,7,Mixolimnion,Whole
Sample.B0717.fcs,17,Monimolimnion,Whole
Sample.B08.fcs,8,Mixolimnion,Whole
Sample.B0818.fcs,18,Monimolimnion,Whole
Sample.B09.fcs,9,Mixolimnion,Whole
Sample.B0919.fcs,19,Monimolimnion,Whole
Sample.B10.fcs,10,Mixolimnion,Whole
Sample.B11.fcs,11,Mixolimnion,Whole
Sample.B12.fcs,13,Chemocline,Whole
Sample.C01.fcs,1,Mixolimnion,Whole
Sample.C0112.fcs,12,Mixolimnion,Whole
Sample.C02.fcs,2,Mixolimnion,Whole
Sample.C02135.fcs,13.5,Chemocline,Whole
Sample.C03.fcs,3,Mixolimnion,Whole
Sample.C0314.fcs,14,Chemocline,Whole
Sample.C04.fcs,4,Mixolimnion,Whole
Sample.C0415.fcs,15,Chemocline,Whole
Sample.C05.fcs,5,Mixolimnion,Whole
Sample.C05155.fcs,15.5,Chemocline,Whole
Sample.C06.fcs,6,Mixolimnion,Whole
Sample.C0616.fcs,16,Monimolimnion,Whole
Sample.C07.fcs,7,Mixolimnion,Whole
Sample.C0717.fcs,17,Monimolimnion,Whole
Sample.C08.fcs,8,Mixolimnion,Whole
Sample.C0818.fcs,18,Monimolimnion,Whole
Sample.C09.fcs,9,Mixolimnion,Whole
Sample.C0919.fcs,19,Monimolimnion,Whole
Sample.C10.fcs,10,Mixolimnion,Whole
Sample.C11.fcs,11,Mixolimnion,Whole
Sample.C12.fcs,13,Chemocline,Whole
Sample.D01.fcs,1,Mixolimnion,Whole
Sample.D0112.fcs,12,Mixolimnion,Whole
Sample.D02.fcs,2,Mixolimnion,Whole
Sample.D02135.fcs,13.5,Chemocline,Whole
Sample.D03.fcs,3,Mixolimnion,Whole
Sample.D0314.fcs,14,Chemocline,Whole
Sample.D04.fcs,4,Mixolimnion,Whole
Sample.D0415.fcs,15,Chemocline,Whole
Sample.D05.fcs,5,Mixolimnion,Whole
Sample.D05155.fcs,15.5,Chemocline,Whole
Sample.D06.fcs,6,Mixolimnion,Whole
Sample.D0616.fcs,16,Monimolimnion,Whole
Sample.D07.fcs,7,Mixolimnion,Whole
Sample.D0717.fcs,17,Monimolimnion,Whole
Sample.D08.fcs,8,Mixolimnion,Whole
Sample.D0818.fcs,18,Monimolimnion,Whole
Sample.D09.fcs,9,Mixolimnion,Whole
Sample.D0919.fcs,19,Monimolimnion,Whole
Sample.D10.fcs,10,Mixolimnion,Whole
Sample.D11.fcs,11,Mixolimnion,Whole
Sample.D12.fcs,13,Chemocline,Whole
Sample.E01.fcs,1,Mixolimnion,SYBR
Sample.E0112.fcs,12,Mixolimnion,SYBR
Sample.E02.fcs,2,Mixolimnion,SYBR
Sample.E02135.fcs,13.5,Chemocline,SYBR
Sample.E03.fcs,3,Mixolimnion,SYBR
Sample.E0314.fcs,14,Chemocline,SYBR
Sample.E04.fcs,4,Mixolimnion,SYBR
Sample.E0415.fcs,15,Chemocline,SYBR
Sample.E05.fcs,5,Mixolimnion,SYBR
Sample.E05155.fcs,15.5,Chemocline,SYBR
Sample.E06.fcs,6,Mixolimnion,SYBR
Sample.E0616.fcs,16,Monimolimnion,SYBR
Sample.E07.fcs,7,Mixolimnion,SYBR
Sample.E0717.fcs,17,Monimolimnion,SYBR
Sample.E08.fcs,8,Mixolimnion,SYBR
Sample.E0818.fcs,18,Monimolimnion,SYBR
Sample.E09.fcs,9,Mixolimnion,SYBR
Sample.E0919.fcs,19,Monimolimnion,SYBR
Sample.E10.fcs,10,Mixolimnion,SYBR
Sample.E11.fcs,11,Mixolimnion,SYBR
Sample.E12.fcs,13,Chemocline,SYBR
Sample.F01.fcs,1,Mixolimnion,SYBR
Sample.F0112.fcs,12,Mixolimnion,SYBR
Sample.F02.fcs,2,Mixolimnion,SYBR
Sample.F02135.fcs,13.5,Chemocline,SYBR
Sample.F03.fcs,3,Mixolimnion,SYBR
Sample.F0314.fcs,14,Chemocline,SYBR
Sample.F04.fcs,4,Mixolimnion,SYBR
Sample.F0415.fcs,15,Chemocline,SYBR
Sample.F05.fcs,5,Mixolimnion,SYBR
Sample.F05155.fcs,15.5,Chemocline,SYBR
Sample.F06.fcs,6,Mixolimnion,SYBR
Sample.F0616.fcs,16,Monimolimnion,SYBR
Sample.F07.fcs,7,Mixolimnion,SYBR
Sample.F0717.fcs,17,Monimolimnion,SYBR
Sample.F08.fcs,8,Mixolimnion,SYBR
Sample.F0818.fcs,18,Monimolimnion,SYBR
Sample.F09.fcs,9,Mixolimnion,SYBR
Sample.F0919.fcs,19,Monimolimnion,SYBR
Sample.F10.fcs,10,Mixolimnion,SYBR
Sample.F11.fcs,11,Mixolimnion,SYBR
Sample.F12.fcs,13,Chemocline,SYBR
Sample.G01.fcs,1,Mixolimnion,SYBR
Sample.G0112.fcs,12,Mixolimnion,SYBR
Sample.G02.fcs,2,Mixolimnion,SYBR
Sample.G02135.fcs,13.5,Chemocline,SYBR
Sample.G03.fcs,3,Mixolimnion,SYBR
Sample.G0314.fcs,14,Chemocline,SYBR
Sample.G04.fcs,4,Mixolimnion,SYBR
Sample.G0415.fcs,15,Chemocline,SYBR
Sample.G05.fcs,5,Mixolimnion,SYBR
Sample.G05155.fcs,15.5,Chemocline,SYBR
Sample.G06.fcs,6,Mixolimnion,SYBR
Sample.G0616.fcs,16,Monimolimnion,SYBR
Sample.G07.fcs,7,Mixolimnion,SYBR
Sample.G0717.fcs,17,Monimolimnion,SYBR
Sample.G08.fcs,8,Mixolimnion,SYBR
Sample.G0818.fcs,18,Monimolimnion,SYBR
Sample.G09.fcs,9,Mixolimnion,SYBR
Sample.G0919.fcs,19,Monimolimnion,SYBR
Sample.G10.fcs,10,Mixolimnion,SYBR
Sample.G11.fcs,11,Mixolimnion,SYBR
Sample.G12.fcs,13,Chemocline,SYBR
Sample A01_c,0,Control,SYBR
Sample A02_c,0,Control,SYBR
Sample A12_c,0,Control,SYBR
