Depth,Press_CTD1_29,Temp_CTD1_29,Cond_CTD1_29,Chl_A_CTD1_29,Turb_CTD1_29,DO_mg_CTD1_29,pH_CTD1_29,Oxy_correc,Oxy_correc2
1,-2.086,15.78706667,0.134866667,1.001066667,0.135133333,9.491333333,9.386,8.884333333,277.4133083
2,-1.411054054,15.80913514,0.135,0.755216216,0.083054054,9.824675676,9.379189189,9.217675676,287.821923
3,-0.426351351,15.81151351,0.135,0.766810811,0.096189189,10.00845946,9.371081081,9.401459459,293.5605716
5,1.653941176,15.80285294,0.135,0.676676471,0.161764706,10.044,9.357941176,9.437,294.670325
6,2.620666667,15.64413889,0.134361111,0.825722222,0.096166667,10.03372222,9.320555556,9.426722222,294.3494014
7,3.594666667,15.15130303,0.134575758,0.776272727,0.091151515,9.704090909,9.152121212,9.097090909,284.0566636
8,4.637294118,14.36979412,0.145088235,2.245647059,0.165382353,8.636882353,8.746470588,8.029882353,250.7330765
9,5.615657143,13.06797143,0.170085714,5.825457143,0.261942857,6.453571429,8.376,5.846571429,182.5591929
10,6.60775,10.77059091,0.195204545,11.80377273,0.410386364,5.135181818,8.168181818,4.528181818,141.3924773
11,7.603666667,9.745230769,0.199615385,11.71102564,0.551076923,4.953512821,8.051282051,4.346512821,135.7198628
12,8.60072093,7.743209302,0.209348837,8.239465116,0.384023256,3.398604651,7.955581395,2.791604651,87.16785523
13,9.609552632,6.813,0.213631579,7.694763158,0.531315789,1.909473684,7.887894737,1.302473684,40.66974079
13.5,10.33144444,6.193777778,0.216,23.78705556,0.967555556,1.430555556,7.851111111,0.823555556,25.71552222
14,10.83425,5.8641,0.2172,45.785,2.3909,1.2032,7.8255,0.5962,18.616345
14.5,11.35021053,5.337684211,0.218052632,28.41521053,7.783210526,1.039105263,7.554210526,0.432105263,13.49248684
15,11.83752174,5.26073913,0.218304348,26.10182609,9.172086957,0.93073913,7.403043478,0.32373913,10.10875435
15.5,12.33685714,5.342952381,0.218047619,28.49580952,11.76842857,0.866238095,7.393809524,0.259238095,8.094709524
16,12.84430769,5.126538462,0.219,16.64946154,5.174769231,0.842153846,7.380769231,0.235153846,7.342678846
17,13.60313333,5.096733333,0.218866667,15.3062,4.687633333,0.8284,7.349666667,0.2214,6.913215
18,14.61580769,5.006038462,0.219846154,12.83719231,3.863038462,0.820346154,7.323461538,0.213346154,6.661733654
19,15.62221622,4.960864865,0.22,12.14524324,3.715783784,0.822108108,7.311891892,0.215108108,6.716750676
