Sample_name,Depth,new_layer,C_D0_Alpha_div_Cells,C_D1_Alpha_div_Cells,sd.D1_cells,C_D2_Alpha_div_Cells,sd.D2_cells,Evenness_cells,Organisation_cells,CV_cells,PCoA_Cells_SYBR_Axis1,PCoA_Cells_SYBR_Axis2
Sample.E01.fcs,1,UM,17225,6095.056739,61.72248947,3668.863539,69.20985001,0.270716742,0.049470025,192.4237089,0.179826015,0.111556596
Sample.E0112.fcs,12,LM,19368,7741.056506,61.55243108,4799.022824,61.54082991,0.305272878,0.060801302,174.3204371,-0.026758603,0.053753683
Sample.E02.fcs,2,UM,16871,5479.121525,60.71649776,3075.536996,53.44558777,0.255696877,0.051473972,211.8801422,0.161062058,0.213083831
Sample.E02135.fcs,13.5,CH,18383,5934.736176,52.52154606,3535.000495,46.63919907,0.25009037,0.058997397,204.9607002,0.137934193,-0.065881329
Sample.E03.fcs,3,UM,18127,6043.640737,60.09347268,3504.829966,52.13183055,0.259873671,0.058229573,204.2469037,0.270245486,-0.093575691
Sample.E0314.fcs,14,CH,19287,7652.300978,56.80753882,5247.232135,63.13944908,0.295662412,0.068647629,163.5871601,-0.285351989,0.153798472
Sample.E04.fcs,4,UM,17964,6099.723488,60.2725037,3549.317557,52.13739172,0.263568415,0.056725982,201.6777059,0.206418304,-0.042055347
Sample.E0415.fcs,15,CH,20200,9162.939216,62.78982402,6211.587574,71.2202667,0.342073258,0.068393034,150.0740936,-0.30015318,0.119266967
Sample.E05.fcs,5,MM,17163,5451.582788,58.23318379,3114.778193,54.84676675,0.247302454,0.050776759,212.5095603,0.195152256,0.119633207
Sample.E05155.fcs,15.5,CH,21464,9282.813002,70.72645955,5926.404613,77.83634371,0.328614133,0.060904341,161.905812,-0.200284444,-0.025332773
Sample.E06.fcs,6,MM,16966,5234.343068,77.42760589,2550.598898,64.38953163,0.257130015,0.033617026,238.1150583,0.231877038,0.292125004
Sample.E0616.fcs,16,Mo,20647,9117.711716,69.27586374,5949.27904,77.78212657,0.334349661,0.06239927,157.2040002,-0.282043299,0.055276833
Sample.E07.fcs,7,MM,15883,4907.740582,65.67829222,2685.083281,59.96741194,0.244153535,0.041235618,221.8103409,0.228157101,0.285518486
Sample.E0717.fcs,17,Mo,21344,9560.231816,67.84110495,6265.864839,78.59299991,0.339431168,0.063539852,155.1348725,-0.219437525,-0.076479521
Sample.E08.fcs,8,MM,19379,8204.664928,48.05459393,5799.420802,47.38085737,0.313532972,0.094827289,152.9987549,-0.017350415,-0.229646762
Sample.E0818.fcs,18,Mo,20781,9402.534629,68.65443729,6195.707009,78.14160281,0.342873109,0.063893762,153.4979294,-0.265099532,0.004564302
Sample.E09.fcs,9,LM,19624,8824.05158,58.02883992,5936.343649,59.67872944,0.337175182,0.067889012,151.8601627,0.014108257,-0.195259378
Sample.E0919.fcs,19,Mo,21655,9558.16854,69.85366623,6259.068837,74.76377057,0.33433753,0.065774665,156.8378509,-0.239686162,-0.025449546
Sample.E10.fcs,10,LM,18404,8003.066986,50.83616998,5476.707354,50.38701094,0.32457778,0.08087888,153.6318787,-0.030718024,-0.115405001
Sample.E11.fcs,11,LM,18223,7679.169622,55.987262,4989.811854,53.8557364,0.318006896,0.079093937,162.9024205,0.078248004,-0.258713973
Sample.E12.fcs,13,CH,18904,8170.51168,59.7604862,5507.742289,66.15269157,0.324394125,0.07483194,156.0025351,-0.095500086,0.037347593
Sample.F01.fcs,1,UM,17539,5738.335224,54.74023595,3462.339574,50.65804724,0.250757757,0.059987818,201.6275353,0.220922577,-0.066875037
Sample.F0112.fcs,12,LM,19081,7399.455632,65.26556162,4395.686498,61.15025419,0.300106832,0.055043274,182.7341684,0.124676279,-0.079103793
Sample.F02.fcs,2,UM,18041,5662.402285,62.22370091,3130.455242,50.3928386,0.249447907,0.053098102,218.3196975,0.245425347,0.052253614
Sample.F02135.fcs,13.5,CH,18678,5944.445343,53.45944185,3477.8699,47.91016587,0.248563183,0.054411015,209.1085122,0.139564982,-0.023653608
Sample.F03.fcs,3,UM,18060,6136.050474,61.13016389,3548.364676,54.08443749,0.264583525,0.057971651,202.3636595,0.261881375,-0.101472917
Sample.F0314.fcs,14,CH,19217,7739.349558,57.66621154,5318.333931,66.55946712,0.300155109,0.068062768,161.6345228,-0.265278008,0.110229679
Sample.F04.fcs,4,UM,17847,5811.722603,65.19185941,3239.22123,56.74304947,0.256730909,0.049279387,212.4103541,0.227945948,0.056683247
Sample.F0415.fcs,15,CH,20405,9466.379756,60.66771314,6566.698385,72.98742036,0.34880232,0.071849589,145.1750079,-0.264872454,0.010902207
