OTU,Sample,OTU Count,Depth,Average cells/ml,Kingdom,Phylum,Class,Order,Family,Genus,OTU Relative Abundance,Absolute Abundance,Absolute Abundance round off,Phylum|Genus
Otu01084,LC-3m-E1,3,3,95666.66667,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,9.92E-05,9.489171764,9,Nanoarchaeaeota|Woesearchaeia_ge
Otu00639,LC-3m-E1,2,3,95666.66667,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,6.61E-05,6.32611451,6,Nanoarchaeaeota|Woesearchaeia_ge
Otu01080,LC-3m-E1,2,3,95666.66667,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosaetaceae,Methanosaeta,6.61E-05,6.32611451,6,Euryarchaeota|Methanosaeta
Otu02023,LC-3m-E1,2,3,95666.66667,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,6.61E-05,6.32611451,6,Nanoarchaeaeota|Woesearchaeia_ge
Otu02029,LC-3m-E1,2,3,95666.66667,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,6.61E-05,6.32611451,6,Nanoarchaeaeota|Woesearchaeia_ge
Otu02032,LC-3m-E1,2,3,95666.66667,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,6.61E-05,6.32611451,6,Nanoarchaeaeota|Woesearchaeia_ge
Otu00990,LC-3m-E1,1,3,95666.66667,Archaea,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,3.31E-05,3.163057255,3,Archaea_unclassified|Archaea_unclassified
Otu01461,LC-3m-E1,1,3,95666.66667,Archaea,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,3.31E-05,3.163057255,3,Archaea_unclassified|Archaea_unclassified
Otu01769,LC-3m-E1,1,3,95666.66667,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,3.31E-05,3.163057255,3,Nanoarchaeaeota|Woesearchaeia_ge
Otu02122,LC-3m-E1,1,3,95666.66667,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,3.31E-05,3.163057255,3,Euryarchaeota|Methanospirillum
Otu02987,LC-3m-E1,1,3,95666.66667,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,3.31E-05,3.163057255,3,Nanoarchaeaeota|Woesearchaeia_ge
Otu02995,LC-3m-E1,1,3,95666.66667,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,3.31E-05,3.163057255,3,Nanoarchaeaeota|Woesearchaeia_ge
Otu02997,LC-3m-E1,1,3,95666.66667,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,3.31E-05,3.163057255,3,Nanoarchaeaeota|Woesearchaeia_ge
Otu02998,LC-3m-E1,1,3,95666.66667,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,3.31E-05,3.163057255,3,Nanoarchaeaeota|Woesearchaeia_ge
Otu02999,LC-3m-E1,1,3,95666.66667,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,3.31E-05,3.163057255,3,Nanoarchaeaeota|Woesearchaeia_ge
Otu03000,LC-3m-E1,1,3,95666.66667,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,3.31E-05,3.163057255,3,Nanoarchaeaeota|Woesearchaeia_ge
Otu00799,Cadagno7m-E2,2,7,157333.3333,Archaea,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,8.77E-05,13.79451434,14,Archaea_unclassified|Archaea_unclassified
Otu01549,Cadagno7m-E2,2,7,157333.3333,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,8.77E-05,13.79451434,14,Nanoarchaeaeota|Woesearchaeia_ge
Otu00326,Cadagno7m-E2,1,7,157333.3333,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,4.38E-05,6.89725717,7,Nanoarchaeaeota|Woesearchaeia_ge
Otu00729,Cadagno7m-E2,1,7,157333.3333,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,4.38E-05,6.89725717,7,Nanoarchaeaeota|Woesearchaeia_ge
Otu01056,Cadagno7m-E2,1,7,157333.3333,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,4.38E-05,6.89725717,7,Nanoarchaeaeota|Woesearchaeia_ge
Otu02057,Cadagno7m-E2,1,7,157333.3333,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,4.38E-05,6.89725717,7,Nanoarchaeaeota|Woesearchaeia_ge
Otu02657,Cadagno7m-E2,1,7,157333.3333,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,4.38E-05,6.89725717,7,Nanoarchaeaeota|Woesearchaeia_ge
Otu02829,Cadagno7m-E2,1,7,157333.3333,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,4.38E-05,6.89725717,7,Nanoarchaeaeota|Woesearchaeia_ge
Otu03020,Cadagno7m-E2,1,7,157333.3333,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,4.38E-05,6.89725717,7,Nanoarchaeaeota|Woesearchaeia_ge
Otu00326,LC-9m-E1,5,9,73000,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,0.0002194618795,16.0207172,16,Nanoarchaeaeota|Woesearchaeia_ge
Otu00519,LC-9m-E1,2,9,73000,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,8.78E-05,6.408286881,6,Nanoarchaeaeota|Woesearchaeia_ge
