OTU,Sample,Abundance,depth_m,avg_cells_ml,Kingdom,Phylum,Class,Order,Family,Genus,cells_ml
Otu00001,Cadagno15m-E2,0.352542721,15,905000,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Chromatium,319051
Otu00003,Cadagno7m-E2,0.246875137,7,157333.3333,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,bacII,bacII-A,38842
Otu00001,LC-15point5m-E1,0.193298969,15.5,585000,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Chromatium,113080
Otu00006,LC-13m-E1,0.157446809,13,95333.33333,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,15010
Otu00001,LC-17m-E1,0.153927876,17,434666.6667,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Chromatium,66907
Otu00001,LC-19m-E1,0.153545147,19,397000,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Chromatium,60957
Otu00002,LC-3m-E1,0.122295017,3,95666.66667,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI-B,11700
Otu00002,LC-5m-E1,0.117359586,5,86666.66667,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI-B,10171
Otu00003,LC-9m-E1,0.114069778,9,73000,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,bacII,bacII-A,8327
Otu00006,LC-17m-E1,0.113203093,17,434666.6667,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,49206
Otu00008,Cadagno7m-E2,0.110258322,7,157333.3333,Bacteria,Cyanobacteria,Oxyphotobacteria,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,17347
Otu00002,Cadagno7m-E2,0.102846366,7,157333.3333,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI-B,16181
Otu00009,LC-11m-E1,0.100303459,11,104333.3333,Bacteria,Verrucomicrobia,Verrucomicrobiae,uncultured,uncultured_fa,uncultured_ge,10465
Otu00002,LC-9m-E1,0.093549521,9,73000,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI-B,6829
Otu00013,LC-13m-E1,0.090620318,13,95333.33333,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,gamI,unclassified,8639
Otu00006,LC-19m-E1,0.08935872,19,397000,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,35475
Otu00003,LC-11m-E1,0.088529233,11,104333.3333,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,bacII,bacII-A,9237
Otu00017,LC-5m-E1,0.087470784,5,86666.66667,Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Pedosphaeraceae_ge,7581
Otu00002,LC-11m-E1,0.084118956,11,104333.3333,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI-B,8776
Otu00004,LC-15point5m-E1,0.080469645,15.5,585000,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobiaceae_ge,47075
Otu00004,Cadagno15m-E2,0.074921743,15,905000,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobiaceae_ge,67804
Otu00008,LC-11m-E1,0.073922719,11,104333.3333,Bacteria,Cyanobacteria,Oxyphotobacteria,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,7713
Otu00004,LC-19m-E1,0.068625161,19,397000,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobiaceae_ge,27244
Otu00004,LC-17m-E1,0.067638553,17,434666.6667,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobiaceae_ge,29400
Otu00007,LC-5m-E1,0.065160422,5,86666.66667,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI-A,5647
Otu00007,LC-3m-E1,0.06458871,3,95666.66667,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI-A,6179
Otu00017,LC-9m-E1,0.063845681,9,73000,Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Pedosphaeraceae_ge,4661
Otu00055,LC-11m-E1,0.060813271,11,104333.3333,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,6345
Otu00036,LC-9m-E1,0.053871166,9,73000,Bacteria,Verrucomicrobia,Verrucomicrobiae,uncultured,uncultured_fa,uncultured_ge,3933
Otu00033,LC-13m-E1,0.051902907,13,95333.33333,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,4948
Otu00028,LC-9m-E1,0.05189384,9,73000,Bacteria,Armatimonadetes,Armatimonadia,Armatimonadales,Armatimonadaceae,Armatimonas,3788
Otu00015,LC-11m-E1,0.047339672,11,104333.3333,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI-A,4939
Otu00009,LC-3m-E1,0.046555489,3,95666.66667,Bacteria,Verrucomicrobia,Verrucomicrobiae,uncultured,uncultured_fa,uncultured_ge,4454
Otu00006,LC-15point5m-E1,0.046105384,15.5,585000,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,26972
Otu00035,LC-3m-E1,0.044537092,3,95666.66667,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betII,Pnec,4261
Otu00031,LC-5m-E1,0.043558326,5,86666.66667,Bacteria,Actinobacteria,Acidimicrobiia,Microtrichales,acIV,acIV-A,3775
Otu00017,LC-3m-E1,0.043345907,3,95666.66667,Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Pedosphaeraceae_ge,4147
Otu00028,LC-5m-E1,0.04306254,5,86666.66667,Bacteria,Armatimonadetes,Armatimonadia,Armatimonadales,Armatimonadaceae,Armatimonas,3732
Otu00026,LC-3m-E1,0.042518695,3,95666.66667,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betIV,betIV-A,4068
Otu00042,LC-11m-E1,0.041391867,11,104333.3333,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,4319
Otu00006,Cadagno15m-E2,0.041360907,15,905000,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,37432
Otu00009,Cadagno7m-E2,0.041050831,7,157333.3333,Bacteria,Verrucomicrobia,Verrucomicrobiae,uncultured,uncultured_fa,uncultured_ge,6459
Otu00012,LC-15point5m-E1,0.04080756,15.5,585000,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelotrichaceae_unclassified,23872
Otu00028,LC-3m-E1,0.040599563,3,95666.66667,Bacteria,Armatimonadetes,Armatimonadia,Armatimonadales,Armatimonadaceae,Armatimonas,3884
Otu00014,LC-11m-E1,0.040542181,11,104333.3333,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI_unclassified,4230
Otu00025,LC-3m-E1,0.040301767,3,95666.66667,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acTH1,acTH1-A,3856
Otu00009,LC-5m-E1,0.040229478,5,86666.66667,Bacteria,Verrucomicrobia,Verrucomicrobiae,uncultured,uncultured_fa,uncultured_ge,3487
Otu00012,LC-17m-E1,0.039839462,17,434666.6667,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelotrichaceae_unclassified,17317
